,Item,Pronunciation,Phonology,Frequency,Length
7571,glover,G L AH V AH R,glxvxr,1.55,6
7572,glow,G L OW,glo,5.75,3
7573,glue,G L UW,glu,5.88,3
7574,glum,G L AH M,glxm,1.02,4
7575,glut,G L AH T,glxt,0.14,4
7576,glutinous,G L UW T AH N IH S,glutxnIs,0.02,8
7577,glutton,G L AH T AH N,glxtxn,0.61,6
7578,glycerine,G L IH S AH R AH N,glIsxrxn,0.04,8
7579,glycerol,G L IH S AH R AO L,glIsxrcl,0.04,8
7580,glycol,G L AY K OW L,glYkol,0.1,6
7581,glycoside,G L AY K AH S AY D,glYkxsYd,0.06,8
7582,gnarled,N AA R L D,narld,0.06,5
7583,gnash,N AE SH,nAS,0.1,3
7584,gnaw,N AO,nc,0.37,2
7585,gnome,N OW M,nom,0.63,3
7586,go,G OW,go,3793.04,2
7587,goad,G OW D,god,0.14,3
7588,goal,G OW L,gol,16.75,3
7589,goat,G OW T,got,10.53,3
7590,gob,G AA B,gab,11.14,3
7591,gobble,G AA B AH L,gabxl,2.35,5
7592,gobbledygook,G AA B AH L D IY G UH K,gabxldigUk,0.37,10
7593,gobbler,G AA B L AH R,gablxr,0.31,6
7594,god,G AA D,gad,903.16,3
7595,goddamn,G AA D D AE M,gaddAm,114.02,6
7596,goddess,G AA D IH S,gadIs,8.76,5
7597,godhead,G AA D HH EH D,gadhEd,0.06,6
7598,godless,G AA D L IH S,gadlIs,0.82,6
7599,godlike,G AA D L AY K,gadlYk,0.41,6
7600,godliness,G AA D L IY N AH S,gadlinxs,0.33,8
7601,godsend,G AA D S EH N D,gadsEnd,0.88,7
7602,goggle,G AA G AH L,gagxl,0.53,5
7603,going,G OW IH NG,goIG,2123.29,4
7604,gold,G OW L D,gold,78.94,4
7605,golden,G OW L D IH N,goldIn,23.27,6
7606,goldfish,G OW L D F IH SH,goldfIS,3.04,7
7607,goldsmith,G OW L D S M IH TH,goldsmIT,0.33,8
7612,golfer,G AA L F AH R,galfxr,1.1,6
7613,good,G UH D,gUd,2610.14,3
7614,goodie,G UH D IY,gUdi,0.49,4
7615,goodness,G UH D N IH S,gUdnIs,32.45,6
7616,goodnight,G UH D N AY T,gUdnYt,16.12,6
7617,gooey,G UW IY,gui,0.76,3
7618,goof,G UW F,guf,2.22,3
7619,goose,G UW S,gus,13.04,3
7620,gorge,G AO R JH,gcrJ,1.31,4
7621,gorgeous,G AO R JH IH S,gcrJIs,24.06,6
7622,gorgeously,G AO R JH AH S L IY,gcrJxsli,0.06,8
7623,gosh,G AA SH,gaS,29.9,3
7624,gospel,G AA S P AH L,gaspxl,3.14,6
7625,gossamer,G AA S AH M AH R,gasxmxr,0.49,7
7626,gossip,G AA S AH P,gasxp,7.78,5
7627,gothic,G AA TH IH K,gaTIk,0.94,5
7628,gouge,G AW JH,gWJ,0.69,3
7629,gourd,G OW R D,gord,0.47,4
7630,gourmet,G UH R M EY,gUrme,2.18,5
7631,gout,G AW T,gWt,1.39,3
7632,govern,G AH V AH R N,gxvxrn,1.22,6
7633,governess,G AH V AH R N IH S,gxvxrnIs,1.06,8
7634,government,G AH V AH R N M AH N T,gxvxrnmxnt,65.24,10
7635,governmental,G AH V AH R N M EH N T AH L,gxvxrnmEntxl,0.55,12
7636,governor,G AH V AH N AH R,gxvxnxr,26.84,7
7637,gown,G AW N,gWn,6.55,3
7638,grab,G R AE B,grAb,70.86,4
7639,grabbing,G R AE B IH NG,grAbIG,3.96,6
7640,grace,G R EY S,gres,42.29,4
7641,graceful,G R EY S F AH L,gresfxl,2.31,7
7642,gracias,G R AA S IY AH S,grasixs,4.47,7
7643,gracious,G R EY SH IH S,greSIs,7.16,6
7644,grad,G R AE D,grAd,2.9,4
7645,gradation,G R EY D EY SH IH N,gredeSIn,0.02,8
7646,grade,G R EY D,gred,29.27,4
7647,grader,G R EY D AH R,gredxr,0.86,6
7648,gradient,G R EY D IY AH N T,gredixnt,0.18,8
7649,gradual,G R AE JH UW AH L,grAJuxl,0.75,7
7650,gradually,G R AE JH UW AH L L IY,grAJuxlli,1.96,9
7651,graduate,G R AE JH UW EY T,grAJuet,12.22,7
7652,graduating,G R AE JH UW EY T IH NG,grAJuetIG,2.51,9
7653,graduation,G R AE JH UW EY SH IH N,grAJueSIn,9.8,9
7654,graffito,G R AE F IY T OW,grAfito,0.12,7
7655,graft,G R AE F T,grAft,1.65,5
7656,graham,G R EY AH M,grexm,11.39,5
7657,grail,G R EY L,grel,2.69,4
7658,grain,G R EY N,gren,4.76,4
7659,gram,G R AE M,grAm,2.59,4
7660,grammar,G R AE M AH R,grAmxr,2.39,6
7661,grammarian,G R AH M EH R IY AH N,grxmErixn,0.02,9
7662,grammatical,G R AH M AE T IH K AH L,grxmAtIkxl,0.12,10
7663,granary,G R EY N AH R IY,grenxri,0.04,7
7664,grand,G R AE N D,grAnd,63.02,5
7665,grandchild,G R AE N D CH AY L D,grAndCYld,1.53,9
7666,granddaughter,G R AE N D AO T AH R,grAndctxr,6.47,9
7667,grander,G R AE N D AH R,grAndxr,0.39,7
7668,grandeur,G R AE N JH AH R,grAnJxr,0.73,7
7669,grandfather,G R AE N F AA DH AH R,grAnfaDxr,24.33,9
7670,grandiose,G R AE N D IY OW S,grAndios,0.41,8
7671,grandma,G R AE N M AA,grAnma,45.59,6
7672,grandmother,G R AE N D M AH DH AH R,grAndmxDxr,27.78,10
7673,grandparent,G R AE N P EH R AH N T,grAnpErxnt,0.25,10
7674,grandson,G R AE N D S AH N,grAndsxn,7.98,8
7675,grandstand,G R AE N S T AE N D,grAnstAnd,0.61,9
7676,granite,G R AE N IH T,grAnIt,1.59,6
7677,grant,G R AE N T,grAnt,32.55,5
7678,granting,G R AE N IH NG,grAnIG,1.06,6
7679,granular,G R AE N Y UH L AH R,grAnyUlxr,0.04,9
7680,granule,G R AE N Y UW L,grAnyul,0.04,7
7681,grape,G R EY P,grep,4.0,4
7682,grapefruit,G R EY P F R UW T,grepfrut,2.47,8
7683,grapevine,G R EY P V AY N,grepvYn,0.92,7
7684,graph,G R AE F,grAf,0.75,4
7685,graphic,G R AE F IH K,grAfIk,2.33,6
7686,graphical,G R AE F IH K AH L,grAfIkxl,0.04,8
7687,graphite,G R AE F AY T,grAfYt,0.41,6
7688,grapple,G R AE P AH L,grApxl,0.24,6
7689,grappling,G R AE P L IH NG,grAplIG,0.57,7
7690,grasp,G R AE S P,grAsp,4.57,5
7691,grass,G R AE S,grAs,16.78,4
7692,grasshopper,G R AE S HH AA P AH R,grAshapxr,0.92,9
7693,grassland,G R AE S L AE N D,grAslAnd,0.1,8
7694,grassroots,G R AE S R UW T S,grAsruts,0.29,8
7695,grassy,G R AE S IY,grAsi,0.63,5
7696,grata,G R AA T AH,gratx,0.24,5
7701,grateful,G R EY T F AH L,gretfxl,26.57,7
7702,gratification,G R AE T IH F AH K EY SH IH N,grAtIfxkeSIn,0.82,12
7703,gratify,G R AE T IH F AY,grAtIfY,0.16,7
7704,gratifying,G R AE T AH F AY IH NG,grAtxfYIG,1.08,9
7705,gratifyingly,G R AE T AH F AY IH NG L IY,grAtxfYIGli,0.02,11
7706,grating,G R EY T IH NG,gretIG,0.31,6
7707,gratitude,G R AE T IH T UW D,grAtItud,7.75,8
7708,gratuitous,G R AH T UW IH T IH S,grxtuItIs,0.35,9
7709,grave,G R EY V,grev,26.27,4
7710,gravel,G R AE V AH L,grAvxl,1.43,6
7711,graven,G R EY V AH N,grevxn,0.12,6
7712,graver,G R EY V AH R,grevxr,0.16,6
7713,gravest,G R AE V AH S T,grAvxst,0.31,7
7714,gravestone,G R EY V S T OW N,grevston,0.33,8
7715,graveyard,G R EY V Y AA R D,grevyard,5.33,8
7716,gravid,G R AE V AH D,grAvxd,0.02,6
7717,gravitation,G R AE V AH T EY SH IH N,grAvxteSIn,0.02,10
7718,gravitational,G R AE V IH T EY SH AH N AH L,grAvIteSxnxl,1.12,12
7719,gravity,G R AE V AH T IY,grAvxti,6.88,7
7720,gravy,G R EY V IY,grevi,5.27,5
7721,gray,G R EY,gre,21.12,3
7722,grayer,G R EY AH R,grexr,0.04,5
7723,graze,G R EY Z,grez,0.76,4
7724,grazer,G R EY Z AH R,grezxr,0.31,6
7725,grease,G R IY S,gris,6.94,4
7726,greasy,G R IY S IY,grisi,3.9,5
7731,greatcoat,G R EY T K OW T,gretkot,0.02,7
7732,greater,G R EY T AH R,gretxr,16.06,6
7733,greatest,G R EY T AH S T,gretxst,48.31,7
7734,greatness,G R EY T N AH S,gretnxs,4.18,7
7735,greed,G R IY D,grid,4.8,4
7736,greedy,G R IY D IY,gridi,6.63,5
7737,green,G R IY N,grin,72.47,4
7738,greenest,G R IY N IH S T,grinIst,0.18,7
7739,greenhouse,G R IY N HH AW S,grinhWs,2.2,7
7740,greenish,G R IY N IH SH,grinIS,0.16,6
7741,greenness,G R IY N IH S,grinIs,0.04,6
7742,greet,G R IY T,grit,5.25,4
7743,greeting,G R IY T IH NG,gritIG,3.22,6
7744,gregarious,G R IH G AE R IY AH S,grIgArixs,0.04,9
7745,grenade,G R AH N EY D,grxned,4.61,6
7746,grief,G R IY F,grif,10.82,4
7747,grievance,G R IY V AH N S,grivxns,0.9,7
7748,grieve,G R IY V,griv,2.2,4
7749,grievous,G R IY V AH S,grivxs,1.04,6
7750,grievously,G R IY V AH S L IY,grivxsli,0.12,8
7759,grillwork,G R IH L W AH R K,grIlwxrk,0.04,8
7760,grim,G R IH M,grIm,4.78,4
7761,grimace,G R IH M AH S,grImxs,0.33,6
7762,grime,G R AY M,grYm,0.41,4
7763,grimmer,G R IH M AH R,grImxr,0.02,6
7764,grin,G R IH N,grIn,2.71,4
7765,grind,G R AY N D,grYnd,3.73,5
7766,grinder,G R AY N D AH R,grYndxr,1.27,7
7767,grinding,G R AY N D IH NG,grYndIG,2.08,7
7768,grindstone,G R AY N D S T OW N,grYndston,0.45,9
7769,grip,G R IH P,grIp,9.69,4
7770,gripe,G R AY P,grYp,0.78,4
7775,grist,G R IH S T,grIst,0.1,5
7776,gristmill,G R IH S T M IH L,grIstmIl,0.04,8
7777,grit,G R IH T,grIt,0.94,4
7778,gritty,G R IH T IY,grIti,0.45,5
7779,grizzled,G R IH Z AH L D,grIzxld,0.1,7
7784,groan,G R OW N,gron,0.92,4
7785,grocer,G R OW S AH R,grosxr,0.69,6
7786,grocery,G R OW S AH R IY,grosxri,5.49,7
7787,groggy,G R AA G IY,gragi,0.9,5
7788,groin,G R OY N,grOn,1.8,4
7789,groom,G R UW M,grum,7.82,4
7790,groomsman,G R UW M Z M AH N,grumzmxn,0.27,8
7791,groove,G R UW V,gruv,4.16,4
7792,grope,G R OW P,grop,0.61,4
7793,groping,G R OW P IH NG,gropIG,0.88,6
7794,gross,G R OW S,gros,15.27,4
7795,grossly,G R OW S L IY,grosli,0.55,6
7796,grotesque,G R OW T EH S K,grotEsk,1.57,7
7797,grotesquely,G R OW T EH S K L IY,grotEskli,0.24,9
7798,grotto,G R AA T OW,grato,0.67,5
7799,ground,G R AW N D,grWnd,72.47,5
7800,grounder,G R AW N D AH R,grWndxr,0.06,7
7801,grounding,G R AW N D IH NG,grWndIG,0.55,7
7802,groundless,G R AW N D L IH S,grWndlIs,0.24,8
7803,groundwork,G R AW N D W AH R K,grWndwxrk,0.45,9
7804,group,G R UW P,grup,73.76,4
7805,grouping,G R UW P IH NG,grupIG,0.39,6
7806,grove,G R OW V,grov,3.86,4
7807,grovel,G R AA V AH L,gravxl,1.2,6
7808,grow,G R OW,gro,59.49,3
7809,grower,G R OW AH R,groxr,0.2,5
7810,growing,G R OW IH NG,groIG,29.94,5
7811,growl,G R AW L,grWl,0.98,4
7812,grownup,G R OW N AH P,gronxp,1.39,6
7813,growth,G R OW TH,groT,6.45,4
7814,grub,G R AH B,grxb,2.73,4
7815,grubby,G R AH B IY,grxbi,0.57,5
7816,grudge,G R AH JH,grxJ,4.43,4
7817,gruesome,G R UW S AH M,grusxm,2.04,6
7818,gruff,G R AH F,grxf,0.55,4
7819,grumble,G R AH M B AH L,grxmbxl,0.18,7
7820,grunt,G R AH N T,grxnt,2.22,5
7821,grunting,G R AH N T IH NG,grxntIG,5.08,7
7822,guar,G W AA R,gwar,0.04,4
7823,guarantee,G AE R AH N T IY,gArxnti,22.02,7
7828,guardhouse,G AA R D HH AW S,gardhWs,0.71,7
7829,guardian,G AA R D IY AH N,gardixn,7.02,7
7830,gubernatorial,G UW B AH R N IH T OW R IY AH L,gubxrnItorixl,0.04,13
7831,guerrilla,G AH R IH L AH,gxrIlx,1.08,6
7832,guess,G EH S,gEs,453.98,3
7833,guest,G EH S T,gEst,39.94,4
7834,guffaw,G AH F AO,gxfc,0.06,4
7835,guidance,G AY D AH N S,gYdxns,7.37,6
7836,guide,G AY D,gYd,17.84,3
7837,guidebook,G AY D B UH K,gYdbUk,0.69,6
7838,guideline,G AY D L AY N,gYdlYn,0.27,6
7839,guidepost,G AY D P OW S T,gYdpost,0.04,7
7844,guile,G AY L,gYl,1.02,3
7845,guileless,G AY L L AH S,gYllxs,0.06,6
7850,guiltless,G IH L T L IH S,gIltlIs,0.14,7
7851,guilty,G IH L T IY,gIlti,62.29,5
7852,guinea,G IH N IY,gIni,4.45,4
7853,guise,G AY Z,gYz,0.55,3
7854,guitar,G IH T AA R,gItar,15.59,5
7855,guitarist,G IH T AA R IH S T,gItarIst,0.71,8
7860,gull,G AH L,gxl,1.1,3
7861,gullet,G AH L IH T,gxlIt,0.47,5
7862,gullibility,G AH L AH B IH L IH T IY,gxlxbIlIti,0.08,10
7863,gullible,G AH L AH B AH L,gxlxbxl,1.25,7
7864,gully,G AH L IY,gxli,0.92,4
7865,gulp,G AH L P,gxlp,0.98,4
7866,gum,G AH M,gxm,13.39,3
7867,gummy,G AH M IY,gxmi,0.75,4
7868,gumption,G AH M P SH IH N,gxmpSIn,0.47,7
7869,gun,G AH N,gxn,213.2,3
7870,gunfight,G AH N F AY T,gxnfYt,1.14,6
7871,gunfighter,G AH N F AY T AH R,gxnfYtxr,1.41,8
7872,gunfire,G AH N F AY R,gxnfYr,5.22,6
7873,gunk,G AH NG K,gxGk,0.47,4
7874,gunman,G AH N M AH N,gxnmxn,2.08,6
7875,gunner,G AH N AH R,gxnxr,2.35,5
7876,gunplay,G AH N P L EY,gxnple,0.41,6
7877,gunpowder,G AH N P AW D AH R,gxnpWdxr,1.67,8
7878,gunslinger,G AH N S L IH NG AH R,gxnslIGxr,0.41,9
7879,gurgle,G AH R G AH L,gxrgxl,0.24,6
7880,guru,G UW R UW,guru,1.53,4
7881,gush,G AH SH,gxS,0.71,3
7882,gusher,G AH SH AH R,gxSxr,0.39,5
7883,gusset,G AH S IH T,gxsIt,0.06,5
7884,gust,G AH S T,gxst,0.47,4
7885,gusto,G AH S T OW,gxsto,0.9,5
7886,gusty,G AH S T IY,gxsti,0.1,5
7887,gut,G AH T,gxt,9.75,3
7888,gutter,G AH T AH R,gxtxr,5.24,5
7889,guttural,G AH T AH R AH L,gxtxrxl,0.16,7
7890,guy,G AY,gY,762.61,2
7891,guzzle,G AH Z AH L,gxzxl,0.24,5
7892,gym,JH IH M,JIm,18.18,3
7893,gymnasium,JH IH M N EY Z IY AH M,JImnezixm,1.39,9
7894,gymnast,JH IH M N IH S T,JImnIst,0.59,7
7895,gymnastic,JH IH M N AE S T IH K,JImnAstIk,0.06,9
7896,gymnastics,JH IH M N AE S T IH K S,JImnAstIks,1.53,10
7897,gynecological,G AY N AH K AH L AA JH IH K AH L,gYnxkxlaJIkxl,0.02,13
7898,gynecologist,G AY N AH K AA L AH JH IH S T,gYnxkalxJIst,1.41,12
7899,gypsum,JH IH P S AH M,JIpsxm,0.25,6
7900,gypsy,JH IH P S IY,JIpsi,6.63,5
7901,gyration,JH AY R EY SH IH N,JYreSIn,0.02,7
7902,gyro,JH AY R OW,JYro,0.31,4
7903,gyroscope,JH AY R IH S K OW P,JYrIskop,0.18,8
7904,haberdashery,HH AE B AH R D AE SH AH R IY,hAbxrdASxri,0.14,11
7905,habit,HH AE B IH T,hAbIt,14.47,5
7906,habitable,HH AE B AH T AH B AH L,hAbxtxbxl,0.2,9
7907,habitant,HH AE B AH T IH N T,hAbxtInt,0.02,8
7908,habitat,HH AE B AH T AE T,hAbxtAt,2.24,7
7909,habitual,HH AH B IH CH UW AH L,hxbICuxl,0.51,8
7910,hack,HH AE K,hAk,8.55,3
7911,hacker,HH AE K AH R,hAkxr,2.12,5
7912,hackneyed,HH AE K N IY D,hAknid,0.1,6
7913,hacksaw,HH AE K S AO,hAksc,0.45,5
7914,haddock,HH AE D AH K,hAdxk,0.22,5
7915,haggard,HH AE G AH R D,hAgxrd,1.1,6
7916,haggle,HH AE G AH L,hAgxl,0.73,5
7917,hail,HH EY L,hel,12.02,3
7918,hailstorm,HH EY L S T AO R M,helstcrm,0.2,8
7923,haircut,HH AE R K AH T,hArkxt,8.41,6
7924,hairdo,HH EH R D UW,hErdu,1.29,5
7925,hairless,HH AE R L IH S,hArlIs,0.59,6
7926,hairpin,HH AE R P IH N,hArpIn,0.35,6
7931,halcyon,HH AE L S IY AH N,hAlsixn,0.25,7
7932,half,HH AE F,hAf,199.14,3
7933,halfback,HH AE F B AE K,hAfbAk,0.53,6
7934,halftime,HH AE F T AY M,hAftYm,1.33,6
7935,halfway,HH AE F W EY,hAfwe,13.29,5
7940,hallelujah,HH AE L AH L UW Y AH,hAlxluyx,9.33,8
7941,hallmark,HH AO L M AA R K,hclmark,1.27,7
7942,hallow,HH AE L OW,hAlo,0.18,4
7943,hallucinate,HH AH L UW S AH N EY T,hxlusxnet,0.29,9
7944,hallucination,HH AH L UW S AH N EY SH IH N,hxlusxneSIn,1.78,11
7945,hallway,HH AO L W EY,hclwe,9.55,5
7946,halo,HH EY L OW,helo,1.61,4
7947,halogen,HH AE L AH JH IH N,hAlxJIn,0.04,7
7948,halt,HH AO L T,hclt,11.27,4
7949,halter,HH AO L T AH R,hcltxr,0.51,6
7950,ham,HH AE M,hAm,11.59,3
7951,hamburger,HH AE M B AH R G AH R,hAmbxrgxr,7.78,9
7952,hamlet,HH AE M L IH T,hAmlIt,4.63,6
7953,hammer,HH AE M AH R,hAmxr,12.47,5
7954,hammock,HH AE M AH K,hAmxk,1.39,5
7955,hamper,HH AE M P AH R,hAmpxr,1.41,6
7956,hand,HH AE N D,hAnd,279.65,4
7957,handbag,HH AE N D B AE G,hAndbAg,2.63,7
7958,handbook,HH AE N D B UH K,hAndbUk,1.02,7
7959,handclasp,HH AE N D K L AE S P,hAndklAsp,0.06,9
7960,handcuff,HH AE N D K AH F,hAndkxf,1.02,7
7961,handful,HH AE N D F UH L,hAndfUl,5.71,7
7962,handgun,HH AE N D G AH N,hAndgxn,1.29,7
7963,handhold,HH AE N D HH OW L D,hAndhold,0.06,8
7964,handicap,HH AE N D IH K AE P,hAndIkAp,2.73,8
7965,handicraft,HH AE N D IY K R AE F T,hAndikrAft,0.02,10
7966,handier,HH AE N D IY AH R,hAndixr,0.04,7
7967,handiest,HH AE N D IY AH S T,hAndixst,0.04,8
7968,handiwork,HH AE N D IY W AH R K,hAndiwxrk,0.75,9
7969,handkerchief,HH AE NG K AH R CH IH F,hAGkxrCIf,4.2,9
7970,handle,HH AE N D AH L,hAndxl,108.41,6
7971,handlebar,HH AE N D AH L B AA R,hAndxlbar,0.2,9
7972,handler,HH AE N D L AH R,hAndlxr,2.75,7
7973,handling,HH AE N D L IH NG,hAndlIG,11.35,7
7974,handmade,HH AE N D M EY D,hAndmed,0.9,7
7975,handmaiden,HH AE N D M EY D AH N,hAndmedxn,0.2,9
7976,handshake,HH AE N D SH EY K,hAndSek,3.04,7
7981,handsomer,HH AE N S AH M AH R,hAnsxmxr,0.37,8
7982,handsomest,HH AE N S AH M AH S T,hAnsxmxst,0.75,9
7983,handstand,HH AE N D S T AE N D,hAndstAnd,0.14,9
7984,handwriting,HH AE N D R AY T IH NG,hAndrYtIG,5.9,9
7985,handy,HH AE N D IY,hAndi,12.22,5
7986,handyman,HH AE N D IY M AE N,hAndimAn,1.82,8
7987,hang,HH AE NG,hAG,147.75,3
7996,hanging,HH AE NG IH NG,hAGIG,53.63,5
7997,hangman,HH AE NG M AH N,hAGmxn,1.29,6
7998,hangout,HH AE NG AW T,hAGWt,0.75,5
7999,hangover,HH AE NG OW V AH R,hAGovxr,3.9,7
8000,hanker,HH AE NG K AH R,hAGkxr,0.22,6
8005,haphazard,HH AE P HH AE Z AH R D,hAphAzxrd,0.2,9
8006,hapless,HH AE P L AH S,hAplxs,0.39,6
8007,happen,HH AE P AH N,hApxn,254.27,5
8008,happening,HH AE P AH N IH NG,hApxnIG,90.55,7
8009,happenstance,HH AE P AH N S T AE N S,hApxnstAns,0.16,10
8010,happier,HH AE P IY AH R,hApixr,12.49,6
8011,happiest,HH AE P IY AH S T,hApixst,6.43,7
8012,happiness,HH AE P IY N IH S,hApinIs,24.49,7
8013,happy,HH AE P IY,hApi,333.2,4
8014,harangue,HH AH R AE NG,hxrAG,0.08,5
8015,harass,HH AH R AE S,hxrAs,1.33,5
8016,harassment,HH AH R AE S M AH N T,hxrAsmxnt,5.88,9
8017,harbor,HH AA R B AH R,harbxr,11.02,6
8018,hard,HH AA R D,hard,307.84,4
8019,harden,HH AA R D AH N,hardxn,0.55,6
8020,harder,HH AA R D AH R,hardxr,30.27,6
8021,hardest,HH AA R D AH S T,hardxst,6.71,7
8022,hardly,HH AA R D L IY,hardli,51.24,6
8023,hardness,HH AA R D N IH S,hardnIs,0.25,7
8024,hardship,HH AA R D SH IH P,hardSIp,1.51,7
8025,hardtack,HH AA R D T AE K,hardtAk,0.24,7
8026,hardware,HH AA R D W AE R,hardwAr,6.82,7
8027,hardwood,HH AA R D W UH D,hardwUd,0.65,7
8028,hardworking,HH AA R D W AH R K IH NG,hardwxrkIG,1.51,10
8029,hardy,HH AA R D IY,hardi,3.69,5
8034,harelip,HH EH R L IH P,hErlIp,0.16,6
8035,harem,HH AE R AH M,hArxm,0.88,5
8036,hark,HH AA R K,hark,1.69,4
8037,harm,HH AA R M,harm,31.78,4
8038,harmful,HH AA R M F AH L,harmfxl,1.29,7
8039,harmless,HH AA R M L IH S,harmlIs,8.65,7
8040,harmonic,HH AA R M AA N IH K,harmanIk,0.22,8
8041,harmonious,HH AA R M OW N IY AH S,harmonixs,0.39,9
8042,harmony,HH AA R M AH N IY,harmxni,8.22,7
8043,harness,HH AA R N IH S,harnIs,2.61,6
8044,harp,HH AA R P,harp,2.63,4
8045,harping,HH AA R P IH NG,harpIG,0.71,6
8046,harpsichord,HH AA R P S IH K AO R D,harpsIkcrd,0.22,10
8047,harpy,HH AA R P IY,harpi,0.67,5
8048,harrow,HH AE R OW,hAro,0.18,4
8049,harrowing,HH EH R OW IH NG,hEroIG,0.53,6
8054,harsh,HH AA R SH,harS,7.1,4
8055,harsher,HH AA R SH AH R,harSxr,0.1,6
8056,harshness,HH AA R SH N AH S,harSnxs,0.14,7
8057,harvest,HH AA R V IH S T,harvIst,3.82,7
8058,harvesting,HH AA R V AH S T IH NG,harvxstIG,0.61,9
8059,hash,HH AE SH,hAS,3.53,3
8060,hasp,HH AE S P,hAsp,0.06,4
8061,haste,HH EY S T,hest,2.08,4
8062,hasten,HH EY S AH N,hesxn,0.73,5
8063,hasty,HH EY S T IY,hesti,3.51,5
8064,hat,HH AE T,hAt,64.18,3
8065,hatch,HH AE CH,hAC,12.82,3
8066,hatchet,HH AE CH IH T,hACIt,1.96,5
8067,hatching,HH AE CH IH NG,hACIG,0.49,5
8068,hatchway,HH AE CH W EY,hACwe,0.08,5
8069,hate,HH EY T,het,214.59,3
8070,hateful,HH EY T F AH L,hetfxl,2.0,6
8071,hatless,HH AE T L AH S,hAtlxs,0.04,6
8072,hatred,HH EY T R IH D,hetrId,5.41,6
8073,hatter,HH AE T AH R,hAtxr,0.45,5
8074,haughty,HH AO T IY,hcti,0.41,4
8079,haulage,HH AO L IH JH,hclIJ,0.04,5
8080,haunch,HH AO N CH,hcnC,0.08,4
8081,haunt,HH AO N T,hcnt,3.57,4
8082,haunting,HH AO N T IH NG,hcntIG,2.16,6
8087,have,HH AE V,hAv,6161.41,3
8088,haven,HH EY V AH N,hevxn,369.49,5
8089,havoc,HH AE V AH K,hAvxk,1.35,5
8090,hawing,HH AO IH NG,hcIG,0.12,4
8091,hawk,HH AO K,hck,12.75,3
8092,hawker,HH AO K AH R,hckxr,0.37,5
8093,hay,HH EY,he,6.37,2
8094,hayfield,HH EY F IY L D,hefild,0.02,6
8095,haystack,HH EY S T AE K,hestAk,1.37,6
8096,hazard,HH AE Z AH R D,hAzxrd,3.86,6
8097,hazardous,HH AE Z AH R D AH S,hAzxrdxs,1.84,8
8098,haze,HH EY Z,hez,1.51,3
8099,hazel,HH EY Z AH L,hezxl,1.08,5
8100,hazelnut,HH EY Z AH L N AH T,hezxlnxt,0.18,8
8101,hazy,HH EY Z IY,hezi,0.8,4
8102,he,HH IY,hi,7637.2,2
8103,head,HH EH D,hEd,371.51,3
8104,headache,HH EH D EY K,hEdek,14.1,5
8105,headboard,HH EH D B OW R D,hEdbord,0.29,7
8106,headdress,HH EH D D R EH S,hEddrEs,0.29,7
8107,header,HH EH D AH R,hEdxr,0.49,5
8108,heading,HH EH D IH NG,hEdIG,33.47,5
8109,headland,HH EH D L AH N D,hEdlxnd,0.12,7
8110,headless,HH EH D L IH S,hEdlIs,1.31,6
8111,headlight,HH EH D L AY T,hEdlYt,0.73,6
8112,headline,HH EH D L AY N,hEdlYn,2.59,6
8113,headmaster,HH EH D M AE S T AH R,hEdmAstxr,2.2,9
8114,headquarters,HH EH D K W AO R T AH R Z,hEdkwcrtxrz,16.45,11
8115,headroom,HH EH D R UW M,hEdrum,0.06,6
8116,headsman,HH EH D Z M AH N,hEdzmxn,0.16,7
8117,headstand,HH EH D S T AE N D,hEdstAnd,0.06,8
8118,headstone,HH EH D S T OW N,hEdston,1.0,7
8119,headwater,HH EH D W AO T AH R,hEdwctxr,0.12,8
8120,heady,HH EH D IY,hEdi,0.39,4
8125,healer,HH IY L AH R,hilxr,1.65,5
8126,healing,HH IY L IH NG,hilIG,6.39,5
8127,health,HH EH L TH,hElT,40.27,4
8128,healthful,HH EH L TH F AH L,hElTfxl,0.2,7
8129,healthier,HH EH L TH IY AH R,hElTixr,1.25,7
8130,healthiest,HH EH L TH IY IH S T,hElTiIst,0.47,8
8131,healthy,HH EH L TH IY,hElTi,24.75,5
8132,heap,HH IY P,hip,4.88,3
8137,hearer,HH IY R AH R,hirxr,0.04,5
8138,hearing,HH IH R IH NG,hIrIG,44.73,5
8139,hearsay,HH IH R S EY,hIrse,1.53,5
8140,hearse,HH AH R S,hxrs,1.59,4
8141,heart,HH AA R T,hart,244.18,4
8142,heartbeat,HH AA R T B IY T,hartbit,5.57,7
8143,heartbreak,HH AA R T B R EY K,hartbrek,2.2,8
8144,heartbreaking,HH AA R T B R EY K IH NG,hartbrekIG,1.2,10
8145,heartening,HH AA R T N IH NG,hartnIG,0.04,7
8146,heartfelt,HH AA R T F EH L T,hartfElt,1.41,8
8147,hearth,HH AA R TH,harT,0.67,4
8148,heartiest,HH AA R T IY AH S T,hartixst,0.08,8
8149,heartless,HH AA R T L AH S,hartlxs,3.51,7
8150,hearty,HH AA R T IY,harti,1.94,5
8151,heat,HH IY T,hit,40.08,3
8152,heater,HH IY T AH R,hitxr,2.73,5
8153,heathen,HH IY DH IH N,hiDIn,1.59,5
8154,heather,HH EH DH AH R,hEDxr,10.94,5
8155,heating,HH IY T IH NG,hitIG,2.69,5
8156,heave,HH IY V,hiv,3.65,3
8157,heaven,HH EH V AH N,hEvxn,56.61,5
