Item,Pronunciation,Phonology,Frequency
lifer,L AY F AH R,lYfxr,0.57
lifetime,L AY F T AY M,lYftYm,18.22
lift,L IH F T,lIft,34.14
lifter,L IH F T AH R,lIftxr,0.24
lifting,L IH F T IH NG,lIftIG,4.33
ligament,L IH G AH M AH N T,lIgxmxnt,0.49
light,L AY T,lYt,165.2
lighten,L AY T AH N,lYtxn,5.9
lighter,L AY T AH R,lYtxr,8.96
lightest,L AY T AH S T,lYtxst,0.22
lighthearted,L AY T HH AA R T IH D,lYthartId,0.22
lighthouse,L AY T HH AW S,lYthWs,3.08
lighting,L AY T IH NG,lYtIG,6.33
lightly,L AY T L IY,lYtli,4.61
lightness,L AY T N IH S,lYtnIs,0.39
lightning,L AY T N IH NG,lYtnIG,14.14
lightweight,L AY T W EY T,lYtwet,1.16
lignite,L IH G N AY T,lIgnYt,0.02
like,L AY K,lYk,3998.96
likelihood,L AY K L IY HH UH D,lYklihUd,1.14
likely,L AY K L IY,lYkli,25.76
liken,L AY K IH N,lYkIn,0.06
likeness,L AY K N IH S,lYknIs,1.92
liking,L AY K IH NG,lYkIG,6.27
lilac,L AY L AH K,lYlxk,0.76
lilliputian,L IH L AH P Y UW SH AH N,lIlxpyuSxn,0.04
lilt,L IH L T,lIlt,0.24
lily,L IH L IY,lIli,26.86
limb,L IH M,lIm,4.67
limber,L IH M B AH R,lImbxr,0.82
limbic,L IH M B IH K,lImbIk,0.18
limbo,L IH M B OW,lImbo,2.37
lime,L AY M,lYm,3.29
limelight,L AY M L AY T,lYmlYt,0.75
limit,L IH M IH T,lImIt,13.02
limitation,L IH M IH T EY SH IH N,lImIteSIn,0.29
limitless,L IH M IH T L IH S,lImItlIs,0.71
limousine,L IH M AH Z IY N,lImxzin,2.82
limp,L IH M P,lImp,3.67
limpid,L IH M P IH D,lImpId,0.08
linden,L IH N D IH N,lIndIn,1.16
line,L AY N,lYn,206.18
lineage,L IH N IY IH JH,lIniIJ,0.84
linear,L IH N IY AH R,lInixr,0.55
linebacker,L AY N B AE K AH R,lYnbAkxr,0.59
lineman,L AY N M AH N,lYnmxn,0.2
linen,L IH N IH N,lInIn,2.92
liner,L AY N AH R,lYnxr,1.22
lineup,L AY N AH P,lYnxp,2.82
linger,L IH NG G AH R,lIGgxr,1.45
lingerie,L AA N JH AH R EY,lanJxre,2.82
lingo,L IH NG G OW,lIGgo,1.16
linguist,L IH NG G W IH S T,lIGgwIst,0.53
linguistic,L IH NG G W IH S T IH K,lIGgwIstIk,0.35
linguistics,L IH NG G W IH S T IH K S,lIGgwIstIks,0.49
liniment,L IH N AH M AH N T,lInxmxnt,0.39
link,L IH NG K,lIGk,11.94
linkage,L IH NG K IH JH,lIGkIJ,0.29
linking,L IH NG K IH NG,lIGkIG,1.31
linoleum,L IH N OW L IY AH M,lInolixm,0.53
lint,L IH N T,lInt,1.33
lion,L AY IH N,lYIn,15.35
lioness,L AY AH N IH S,lYxnIs,0.33
lionize,L AY IH N AY Z,lYInYz,0.02
lip,L IH P,lIp,10.75
lipstick,L IH P S T IH K,lIpstIk,8.8
liqueur,L IH K AH R,lIkxr,0.55
liqueur,L IH K AH R,lIkxr,0.55
liqueur,L IH K AH R,lIkxr,0.55
liqueur,L IH K AH R,lIkxr,0.55
liquid,L IH K W IH D,lIkwId,7.75
liquidate,L IH K W AH D EY T,lIkwxdet,0.76
liquidation,L IH K W AH D EY SH IH N,lIkwxdeSIn,0.14
liquidity,L IH K W IH D IH T IY,lIkwIdIti,0.06
liquor,L IH K AH R,lIkxr,17.29
liquor,L IH K AH R,lIkxr,17.29
liquor,L IH K AH R,lIkxr,17.29
liquor,L IH K AH R,lIkxr,17.29
lisp,L IH S P,lIsp,0.41
list,L IH S T,lIst,80.59
listen,L IH S AH N,lIsxn,544.78
listener,L IH S N AH R,lIsnxr,1.41
listing,L IH S T IH NG,lIstIG,1.88
listless,L IH S T L AH S,lIstlxs,0.18
lit,L IH T,lIt,9.73
liter,L IY T AH R,litxr,1.75
literal,L IH T AH R AH L,lItxrxl,1.35
literally,L IH T AH R AH L IY,lItxrxli,14.49
literary,L IH T AH R EH R IY,lItxrEri,2.55
literate,L IH T AH R IH T,lItxrIt,0.33
literature,L IH T AH R AH CH UH R,lItxrxCUr,6.39
lithe,L AY DH,lYD,0.04
lithograph,L IH TH AH G R AE F,lITxgrAf,0.06
litigant,L IH T IH G IH N T,lItIgInt,0.06
litigation,L IH T IH G EY SH IH N,lItIgeSIn,1.45
litter,L IH T AH R,lItxr,3.92
litterbug,L IH T AH R B AH G,lItxrbxg,0.06
little,L IH T AH L,lItxl,1446.39
littlest,L IH T AH L AH S T,lItxlxst,0.61
livable,L IH V AH B AH L,lIvxbxl,0.27
live,L IH V,lIv,344.59
livelier,L AY V L IY AH R,lYvlixr,0.14
livelihood,L AY V L IY HH UH D,lYvlihUd,1.49
lively,L AY V L IY,lYvli,4.06
liver,L IH V AH R,lIvxr,14.29
livery,L IH V AH R IY,lIvxri,1.27
livestock,L AY V S T AA K,lYvstak,2
livid,L IH V IH D,lIvId,0.43
living,L IH V IH NG,lIvIG,156.53
lizard,L IH Z AH R D,lIzxrd,4.84
load,L OW D,lod,29.22
loader,L OW D AH R,lodxr,0.45
loading,L OW D IH NG,lodIG,4.86
loaf,L OW F,lof,4.47
loan,L OW N,lon,19.86
loan,L OW N,lon,19.86
loan,L OW N,lon,19.86
loan,L OW N,lon,19.86
loath,L OW TH,loT,0.1
loathe,L OW DH,loD,2.08
loathing,L OW DH IH NG,loDIG,0.49
loathsome,L OW TH S AH M,loTsxm,1.04
lob,L AA B,lab,0.27
lobar,L OW B AH R,lobxr,0.02
lobby,L AA B IY,labi,12.69
lobe,L OW B,lob,1.86
lobo,L OW B OW,lobo,0.84
lobscouse,L AA B S K AW S,labskWs,0.02
lobster,L AA B S T AH R,labstxr,7.33
local,L OW K AH L,lokxl,41.73
locale,L OW K AE L,lokAl,0.31
locality,L OW K AE L IH T IY,lokAlIti,0.12
localization,L OW K AH L AH Z EY SH IH N,lokxlxzeSIn,0.02
localize,L OW K AH L AY Z,lokxlYz,0.02
locate,L OW K EY T,loket,10.27
location,L OW K EY SH IH N,lokeSIn,24.76
lock,L AA K,lak,56.57
locker,L AA K AH R,lakxr,15.98
lockup,L AA K AH P,lakxp,1.35
locomotive,L OW K AH M OW T IH V,lokxmotIv,0.8
locus,L OW K IH S,lokIs,0.33
locust,L OW K IH S T,lokIst,0.86
lodge,L AA JH,laJ,6.69
lodging,L AA JH IH NG,laJIG,0.84
loft,L AO F T,lcft,3.65
lofty,L AO F T IY,lcfti,0.78
log,L AO G,lcg,11.96
logarithm,L AO G AH R IH DH AH M,lcgxrIDxm,0.04
logger,L AO G AH R,lcgxr,0.12
logging,L AO G IH NG,lcgIG,0.9
logic,L AA JH IH K,laJIk,6.71
logical,L AA JH IH K AH L,laJIkxl,7.39
logistic,L OW JH IH S T IH K,loJIstIk,0.04
logistical,L AH JH IH S T IH K AH L,lxJIstIkxl,0.27
logistics,L OW JH IH S T IH K S,loJIstIks,0.71
loin,L OY N,lOn,0.35
loincloth,L OY N K L AO TH,lOnklcT,0.18
loll,L AA L,lal,0.1
lone,L OW N,lon,5.25
lone,L OW N,lon,5.25
lone,L OW N,lon,5.25
lone,L OW N,lon,5.25
lonelier,L OW N L IY AH R,lonlixr,0.27
loneliness,L OW N L IY N AH S,lonlinxs,5
lonely,L OW N L IY,lonli,41.67
loner,L OW N AH R,lonxr,3.1
lonesome,L OW N S AH M,lonsxm,7
long,L AO NG,lcG,675.16
longer,L AO NG G AH R,lcGgxr,98.94
longest,L AO NG G IH S T,lcGgIst,4.76
longevity,L AA N JH EH V AH T IY,lanJEvxti,0.55
longhorn,L AO NG HH AO R N,lcGhcrn,0.31
longing,L AO NG IH NG,lcGIG,2.84
longish,L AO NG IH SH,lcGIS,0.06
longitude,L AA N JH IH T UW D,lanJItud,0.82
longitudinal,L AA N JH AH T UW D AH N AH L,lanJxtudxnxl,0.08
longshoreman,L AO NG SH OW R M AH N,lcGSormxn,0.27
longshot,L AO NG SH AA T,lcGSat,0.1
longstanding,L AO NG S T AE N D IH NG,lcGstAndIG,0.16
look,L UH K,lUk,1947.27
looking,L UH K IH NG,lUkIG,432.67
lookout,L UH K AW T,lUkWt,4.45
lookup,L UH K AH P,lUkxp,0.04
loom,L UW M,lum,0.41
loon,L UW N,lun,1.41
loop,L UW P,lup,6.76
loophole,L UW P HH OW L,luphol,1.02
loose,L UW S,lus,41.78
loosely,L UW S L IY,lusli,0.8
loosen,L UW S AH N,lusxn,5.53
loot,L UW T,lut,3.55
loot,L UW T,lut,3.55
loot,L UW T,lut,3.55
loot,L UW T,lut,3.55
lop,L AA P,lap,0.43
lope,L OW P,lop,0.12
loquacious,L OW K W EY SH IH S,lokweSIs,0.16
lord,L AO R D,lcrd,138.16
lordly,L AO R D L IY,lcrdli,0.14
lordship,L AO R D SH IH P,lcrdSIp,3.24
lore,L OW R,lor,0.67
lose,L UW Z,luz,164.35
loser,L UW Z AH R,luzxr,27.08
loss,L AO S,lcs,29.12
lot,L AA T,lat,569.92
lotion,L OW SH IH N,loSIn,3.25
lots,L AA T S,lats,60.16
lottery,L AA T AH R IY,latxri,6.75
lotus,L OW T AH S,lotxs,2.04
loud,L AW D,lWd,39.82
louder,L AW D AH R,lWdxr,10.1
loudest,L AW D AH S T,lWdxst,0.67
loudspeaker,L AW D S P IY K AH R,lWdspikxr,0.92
lounge,L AW N JH,lWnJ,7.86
louse,L AW S,lWs,1.69
lousy,L AW Z IY,lWzi,23.73
lovable,L AH V AH B AH L,lxvxbxl,1.78
love,L AH V,lxv,1114.98
lovelorn,L AH V L AO R N,lxvlcrn,0.31
lovely,L AH V L IY,lxvli,95.16
lover,L AH V AH R,lxvxr,26.63
low,L OW,lo,59.14
lower,L OW AH R,loxr,27.78
lowering,L AW AH R IH NG,lWxrIG,1.16
lowest,L OW AH S T,loxst,4.41
lowland,L OW L IH N D,lolInd,0.12
lowliest,L OW L IY AH S T,lolixst,0.16
lowly,L OW L IY,loli,1.71
loyal,L OY AH L,lOxl,12
loyalist,L OY AH L IH S T,lOxlIst,0.18
loyalty,L OY AH L T IY,lOxlti,11.67
lubricant,L UW B R IH K IH N T,lubrIkInt,0.69
lubricate,L UW B R IH K EY T,lubrIket,0.16
lubrication,L UW B R AH K EY SH IH N,lubrxkeSIn,0.25
lucid,L UW S IH D,lusId,1.27
lucidity,L UW S IH D IH T IY,lusIdIti,0.27
luck,L AH K,lxk,153.73
luckier,L AH K IY AH R,lxkixr,0.94
lucky,L AH K IY,lxki,143.45
lucrative,L UW K R AH T IH V,lukrxtIv,1.29
lucy,L UW S IY,lusi,41.8
ludicrous,L UW D AH K R IH S,ludxkrIs,1.65
ludicrousness,L UW D AH K R AH S N EH S,ludxkrxsnEs,0.02
lug,L AH G,lxg,2.59
luggage,L AH G IH JH,lxgIJ,11.12
lukewarm,L UW K W AO R M,lukwcrm,0.47
lull,L AH L,lxl,1.18
lullaby,L AH L IH B AY,lxlIbY,1.73
lulu,L UW L UW,lulu,4.98
lumbar,L AH M B AH R,lxmbxr,1.02
lumbar,L AH M B AH R,lxmbxr,1.02
lumbar,L AH M B AH R,lxmbxr,1.02
lumbar,L AH M B AH R,lxmbxr,1.02
lumber,L AH M B AH R,lxmbxr,2.47
lumber,L AH M B AH R,lxmbxr,2.47
lumber,L AH M B AH R,lxmbxr,2.47
lumber,L AH M B AH R,lxmbxr,2.47
lumen,L UW M AH N,lumxn,0.06
luminary,L UW M AH N EH R IY,lumxnEri,0.1
luminescence,L UW M AH N EH S AH N S,lumxnEsxns,0.08
luminescent,L UW M AH N EH S AH N T,lumxnEsxnt,0.06
luminosity,L UW M AH N AA S IH T IY,lumxnasIti,0.04
luminous,L UW M AH N IH S,lumxnIs,0.76
lummox,L AH M AH K S,lxmxks,0.27
lump,L AH M P,lxmp,3.55
lumpy,L AH M P IY,lxmpi,1.75
lunar,L UW N AH R,lunxr,2.06
lunatic,L UW N IH T IH K,lunItIk,8.49
lunch,L AH N CH,lxnC,104.12
luncheon,L AH N CH IH N,lxnCIn,3.27
lunchroom,L AH N CH R UW M,lxnCrum,0.33
lunchtime,L AH N CH T AY M,lxnCtYm,2.45
lung,L AH NG,lxG,8.24
lunge,L AH N JH,lxnJ,0.47
lurch,L AH R CH,lxrC,0.84
lure,L UH R,lUr,4.25
lurid,L UH R IH D,lUrId,0.65
lurk,L AH R K,lxrk,0.41
luscious,L AH SH IH S,lxSIs,1.27
lush,L AH SH,lxS,1.18
lust,L AH S T,lxst,5.57
luster,L AH S T AH R,lxstxr,0.31
lustful,L AH S T F AH L,lxstfxl,0.39
lustrous,L AH S T R AH S,lxstrxs,0.29
lusty,L AH S T IY,lxsti,0.61
lute,L UW T,lut,0.37
lute,L UW T,lut,0.37
lute,L UW T,lut,0.37
lute,L UW T,lut,0.37
luxurious,L AH G ZH UH R IY AH S,lxgZUrixs,1.12
luxury,L AH K SH AH R IY,lxkSxri,6.02
lymph,L IH M F,lImf,0.27
lymphocyte,L IH M F AH S AY T,lImfxsYt,0.16
lymphoma,L IH M F OW M AH,lImfomx,0.55
lynch,L IH N CH,lInC,5.04
lyric,L IH R AH K,lIrxk,1.1
lyrical,L IH R IH K AH L,lIrIkxl,0.51
lyricism,L IH R IH S IH Z AH M,lIrIsIzxm,0.04
lyricist,L IH R IH S IH S T,lIrIsIst,0.18
m,EH M,Em,6730.29
m,EH M,Em,6730.29
ma,M AA,ma,185.8
macabre,M AH K AA B AH R,mxkabxr,0.37
machine,M AH SH IY N,mxSin,70.25
machinery,M AH SH IY N AH R IY,mxSinxri,3.67
machinist,M AH SH IY N IH S T,mxSinIst,0.41
mackerel,M AE K AH R AH L,mAkxrxl,2.12
mackinaw,M AE K AH N AO,mAkxnc,0.31
mackintosh,M AE K IH N T AA SH,mAkIntaS,0.12
mad,M AE D,mAd,113.41
madam,M AE D AH M,mAdxm,44
madden,M AE D AH N,mAdxn,0.57
madding,M AE D IH NG,mAdIG,0.06
mademoiselle,M AE D AH M W AH Z EH L,mAdxmwxzEl,8.18
madhouse,M AE D HH AW S,mAdhWs,1.31
madman,M AE D M AE N,mAdmAn,5.27
madness,M AE D N IH S,mAdnIs,8.45
madrigal,M AE D R IH G AH L,mAdrIgxl,0.14
maelstrom,M EY L S T R AH M,melstrxm,0.1
maestro,M AY S T R OW,mYstro,2.98
mag,M AE G,mAg,1.53
magazine,M AE G AH Z IY N,mAgxzin,33.2
magenta,M AH JH EH N T AH,mxJEntx,0.63
maggot,M AE G IH T,mAgIt,1.59
maggoty,M AE G AH T IY,mAgxti,0.12
magic,M AE JH IH K,mAJIk,52.69
magical,M AE JH IH K AH L,mAJIkxl,9.1
magician,M AH JH IH SH IH N,mxJISIn,7.65
magistrate,M AE JH IH S T R EY T,mAJIstret,1.37
magnanimity,M AE G N AH N IH M AH T IY,mAgnxnImxti,0.04
magnate,M AE G N EY T,mAgnet,0.24
magnet,M AE G N IH T,mAgnIt,2.75
magnetic,M AE G N EH T IH K,mAgnEtIk,4.22
magnetism,M AE G N IH T IH Z AH M,mAgnItIzxm,0.96
magnetize,M AE G N IH T AY Z,mAgnItYz,0.06
magnification,M AE G N AH F AH K EY SH IH N,mAgnxfxkeSIn,0.53
magnificence,M AE G N IH F IH S AH N S,mAgnIfIsxns,0.65
magnificent,M AE G N IH F IH S IH N T,mAgnIfIsInt,13.22
magnificently,M AE G N IH F IH S AH N T L IY,mAgnIfIsxntli,0.55
magnify,M AE G N AH F AY,mAgnxfY,0.59
magnitude,M AE G N IH T UW D,mAgnItud,1.43
magnolia,M AE G N OW L Y AH,mAgnolyx,0.71
magnum,M AE G N AH M,mAgnxm,12.02
magpie,M AE G P AY,mAgpY,0.47
mahogany,M AH HH AA G IH N IY,mxhagIni,0.75
maid,M EY D,med,22.82
maiden,M EY D AH N,medxn,5.53
mail,M EY L,mel,36.84
mail,M EY L,mel,36.84
mail,M EY L,mel,36.84
mail,M EY L,mel,36.84
mailbox,M EY L B AA K S,melbaks,4.16
mailing,M EY L IH NG,melIG,1.31
mailman,M EY L M AE N,melmAn,2.88
maim,M EY M,mem,0.43
main,M EY N,men,42.73
main,M EY N,men,42.73
main,M EY N,men,42.73
main,M EY N,men,42.73
mainland,M EY N L AH N D,menlxnd,3.02
mainly,M EY N L IY,menli,5.02
mainstream,M EY N S T R IY M,menstrim,1.24
maintain,M EY N T EY N,menten,12.96
maintenance,M EY N T IH N IH N S,mentInIns,6.84
majestic,M AH JH EH S T IH K,mxJEstIk,1.37
majestically,M AH JH EH S T IH K L IY,mxJEstIkli,0.16
majesty,M AE JH IH S T IY,mAJIsti,36.53
major,M EY JH AH R,meJxr,104.76
majority,M AH JH AO R IH T IY,mxJcrIti,5.12
make,M EY K,mek,1387.75
maker,M EY K AH R,mekxr,4.92
makeshift,M EY K SH IH F T,mekSIft,0.39
making,M EY K IH NG,mekIG,222.53
maladaptive,M AE L AH D AE P T IH V,mAlxdAptIv,0.02
maladjusted,M AE L AH JH AH S T IH D,mAlxJxstId,0.2
maladjustment,M AE L AH JH AH S T M AH N T,mAlxJxstmxnt,0.08
malady,M AE L AH D IY,mAlxdi,0.43
malaise,M AE L EY Z,mAlez,0.16
malaria,M AH L EH R IY AH,mxlErix,1.67
male,M EY L,mel,33.94
male,M EY L,mel,33.94
male,M EY L,mel,33.94
male,M EY L,mel,33.94
malediction,M AE L AH D IH K SH IH N,mAlxdIkSIn,0.02
malevolent,M AH L EH V AH L AH N T,mxlEvxlxnt,0.35
malformation,M AE L F AO R M EY SH IH N,mAlfcrmeSIn,0.12
malformed,M AE L F AO R M D,mAlfcrmd,0.14
malfunctioning,M AE L F AH NG K SH AH N IH NG,mAlfxGkSxnIG,0.75
malice,M AE L AH S,mAlxs,1.18
malicious,M AH L IH SH IH S,mxlISIs,1.57
malign,M AH L AY N,mxlYn,0.2
malignancy,M AH L IH G N AH N S IY,mxlIgnxnsi,0.14
mall,M AO L,mcl,18.9
mall,M AO L,mcl,18.9
mall,M AO L,mcl,18.9
mall,M AO L,mcl,18.9
malleable,M AE L IY AH B AH L,mAlixbxl,0.1
malnourished,M AE L N AH R IH SH T,mAlnxrISt,0.16
malnutrition,M AE L N UW T R IH SH IH N,mAlnutrISIn,0.45
malt,M AO L T,mclt,1.65
maltreat,M AE L T R IY T,mAltrit,0.04
mama,M AA M AH,mamx,103.71
mammal,M AE M AH L,mAmxl,1.22
mammalian,M AH M EY L IY AH N,mxmelixn,0.12
mammoth,M AE M AH TH,mAmxT,0.78
man,M AE N,mAn,1845.75
mana,M AA N AA,mana,0.04
manage,M AE N IH JH,mAnIJ,21.47
management,M AE N IH JH M AH N T,mAnIJmxnt,11.65
manager,M AE N IH JH AH R,mAnIJxr,39.96
managerial,M AE N AH JH IH R IY AH L,mAnxJIrixl,0.41
mandate,M AE N D EY T,mAndet,1.49
mandatory,M AE N D IH T OW R IY,mAndItori,2.47
mane,M EY N,men,0.59
mane,M EY N,men,0.59
mane,M EY N,men,0.59
mane,M EY N,men,0.59
maneuver,M AH N UW V AH R,mxnuvxr,2.8
maneuverability,M AH N UW V R AH B IH L IH T IY,mxnuvrxbIlIti,0.12
maneuvering,M AH N UW V AH R IH NG,mxnuvxrIG,1.02
manganese,M AE NG G IH N IY Z,mAGgIniz,0.22
mangle,M AE NG G AH L,mAGgxl,0.27
manhood,M AE N HH UH D,mAnhUd,2.86
mania,M EY N IY AH,menix,1.02
maniac,M EY N IY AE K,meniAk,9.39
maniacal,M AH N AY AH K AH L,mxnYxkxl,0.53
manic,M AE N IH K,mAnIk,1.37
manifest,M AE N AH F EH S T,mAnxfEst,3.69
manifestation,M AE N AH F IH S T EY SH IH N,mAnxfIsteSIn,1.04
manifold,M AE N AH F OW L D,mAnxfold,0.49
manila,M AH N IH L AH,mxnIlx,1.45
manipulate,M AH N IH P Y UH L EY T,mxnIpyUlet,3.47
manipulation,M AH N IH P Y UH L EY SH IH N,mxnIpyUleSIn,1.35
manipulator,M AH N IH P Y AH L EY T AH R,mxnIpyxletxr,0.2
mankind,M AE N K AY N D,mAnkYnd,8.76
manly,M AE N L IY,mAnli,4.04
mannequin,M AE N IH K IH N,mAnIkIn,1.22
manner,M AE N AH R,mAnxr,11.53
manner,M AE N AH R,mAnxr,11.53
manner,M AE N AH R,mAnxr,11.53
manner,M AE N AH R,mAnxr,11.53
mannered,M AE N AH R D,mAnxrd,0.14
mannerism,M AE N AH R IH Z AH M,mAnxrIzxm,0.04
mano,M AA N OW,mano,1.49
manometer,M AH N AA M IH T AH R,mxnamItxr,0.06
manor,M AE N AH R,mAnxr,3.41
manor,M AE N AH R,mAnxr,3.41
manor,M AE N AH R,mAnxr,3.41
manor,M AE N AH R,mAnxr,3.41
manpower,M AE N P AW AH R,mAnpWxr,2.06
manse,M AE N S,mAns,0.04
manservant,M AE N S AH R V AH N T,mAnsxrvxnt,0.29
mansion,M AE N CH IH N,mAnCIn,6.45
manslaughter,M AE N S L AO T AH R,mAnslctxr,2.75
mantel,M AE N T AH L,mAntxl,0.75
mantel,M AE N T AH L,mAntxl,0.75
mantel,M AE N T AH L,mAntxl,0.75
mantel,M AE N T AH L,mAntxl,0.75
mantelpiece,M AE N T AH L P IY S,mAntxlpis,0.35
mantic,M AE N T IH K,mAntIk,0.02
mantle,M AE N T AH L,mAntxl,2.16
mantle,M AE N T AH L,mAntxl,2.16
mantle,M AE N T AH L,mAntxl,2.16
mantle,M AE N T AH L,mAntxl,2.16
mantrap,M AE N T R AE P,mAntrAp,0.1
manual,M AE N Y UW AH L,mAnyuxl,8
manufacture,M AE N Y UW F AE K CH AH R,mAnyufAkCxr,2.43
manufacturer,M AE N Y AH F AE K CH AH R AH R,mAnyxfAkCxrxr,1.78
manufacturing,M AE N Y AH F AE K CH AH R IH NG,mAnyxfAkCxrIG,1.69
manumission,M AE N Y AH M IH SH AH N,mAnyxmISxn,0.04
manure,M AH N UH R,mxnUr,2.08
manuscript,M AE N Y UW S K R IH P T,mAnyuskrIpt,2.69
many,M EH N IY,mEni,359.43
map,M AE P,mAp,31.82
maple,M EY P AH L,mepxl,3.24
mapping,M AE P IH NG,mApIG,0.84
mar,M AA R,mar,4.02
marathon,M AE R AH TH AA N,mArxTan,4.47
marauder,M AH R AO D AH R,mxrcdxr,0.14
marble,M AA R B AH L,marbxl,5.22
march,M AA R CH,marC,24.02
marching,M AA R CH IH NG,marCIG,6.55
mare,M AE R,mAr,2.9
margin,M AA R JH IH N,marJIn,1.96
marginal,M AA R JH AH N AH L,marJxnxl,0.55
marijuana,M AE R AH W AA N AH,mArxwanx,5.31
marimba,M AH R IH M B AH,mxrImbx,0.04
marina,M AH R IY N AH,mxrinx,4.71
marinade,M AA R IH N EY D,marIned,0.06
marinate,M AE R AH N EY T,mArxnet,0.37
marine,M AH R IY N,mxrin,14.08
mariner,M AE R AH N AH R,mArxnxr,0.43
marionette,M AE R IY AH N EH T,mArixnEt,0.14
marital,M AE R AH T AH L,mArxtxl,2.06
maritime,M AE R AH T AY M,mArxtYm,0.73
mark,M AA R K,mark,82.02
marked,M AA R K T,markt,10.73
markedly,M AA R K IH D L IY,markIdli,0.06
marker,M AA R K AH R,markxr,5.24
market,M AA R K IH T,markIt,36.24
marketability,M AA R K IH T AH B IH L IH T IY,markItxbIlIti,0.06
marketable,M AA R K IH T AH B AH L,markItxbxl,0.27
marketing,M AA R K AH T IH NG,markxtIG,4.76
marketplace,M AA R K IH T P L EY S,markItples,1.63
marking,M AA R K IH NG,markIG,1.61
marksman,M AA R K S M AH N,marksmxn,1.45
marksmanship,M AA R K S M AH N SH IH P,marksmxnSIp,0.45
marmalade,M AA R M AH L EY D,marmxled,1.02
maroon,M AH R UW N,mxrun,1.2
marquee,M AA R K IY,marki,0.53
marriage,M AE R IH JH,mArIJ,77.06
marrow,M AE R OW,mAro,2.96
marry,M AE R IY,mAri,104.35
marsh,M AA R SH,marS,3.51
marshal,M AA R SH AH L,marSxl,17.65
marshland,M AA R SH L AE N D,marSlAnd,0.1
marshmallow,M AA R SH M EH L OW,marSmElo,1.51
mart,M AA R T,mart,1.9
martingale,M AA R T AH N G EY L,martxngel,0.04
martini,M AA R T IY N IY,martini,7.94
martyr,M AA R T AH R,martxr,2.59
martyrdom,M AA R T AH R D AH M,martxrdxm,0.31
marvel,M AA R V AH L,marvxl,1.94
marvelous,M AA R V AH L AH S,marvxlxs,13.16
mascara,M AE S K AE R AH,mAskArx,1.25
masculine,M AE S K Y UH L AH N,mAskyUlxn,2.45
masculinity,M AE S K Y UH L IH N IH T IY,mAskyUlInIti,0.49
mash,M AE SH,mAS,4.39
mask,M AE S K,mAsk,19.8
masking,M AE S K IH NG,mAskIG,0.35
masonic,M AH S AA N IH K,mxsanIk,0.2
masonry,M EY S AH N R IY,mesxnri,0.1
masquerade,M AE S K AH R EY D,mAskxred,1.61
mass,M AE S,mAs,17.25
massacre,M AE S IH K AH R,mAsIkxr,3.96
massage,M AH S AA ZH,mxsaZ,11.08
masseur,M AE S UH R,mAsUr,0.39
massif,M AE S IY F,mAsif,0.12
massive,M AE S IH V,mAsIv,9.96
mast,M AE S T,mAst,1.63
master,M AE S T AH R,mAstxr,87.25
masterful,M AE S T AH R F AH L,mAstxrfxl,0.39
masterly,M AE S T AH R L IY,mAstxrli,0.06
mastermind,M AE S T AH R M AY N D,mAstxrmYnd,1.35
masterpiece,M AE S T AH R P IY S,mAstxrpis,3.53
mastery,M AE S T AH R IY,mAstxri,0.57
mastic,M AE S T IH K,mAstIk,0.02
mastiff,M AE S T IH F,mAstIf,0.12
mastodon,M AE S T IH D AA N,mAstIdan,0.27
mat,M AE T,mAt,3.49
mat,M AE T,mAt,3.49
mat,M AE T,mAt,3.49
mat,M AE T,mAt,3.49
match,M AE CH,mAC,49.43
matching,M AE CH IH NG,mACIG,4.51
matchless,M AE CH L IH S,mAClIs,0.14
matchmaker,M AE CH M EY K AH R,mACmekxr,0.8
matchmaking,M AE CH M EY K IH NG,mACmekIG,0.29
mate,M EY T,met,29.24
mater,M AE T AH R,mAtxr,1.63
mater,M AE T AH R,mAtxr,1.63
mater,M AE T AH R,mAtxr,1.63
mater,M AE T AH R,mAtxr,1.63
material,M AH T IH R IY AH L,mxtIrixl,22.14
materialism,M AH T IH R IY AH L IH Z AH M,mxtIrixlIzxm,0.39
materialistic,M AH T IH R IY AH L IH S T IH K,mxtIrixlIstIk,0.45
materialize,M AH T IH R IY AH L AY Z,mxtIrixlYz,0.49
materially,M AH T IH R IY AH L IY,mxtIrixli,0.1
materiel,M AH T IH R IY EH L,mxtIriEl,0.04
maternal,M AH T AH R N AH L,mxtxrnxl,1.47
math,M AE TH,mAT,16.39
mathematical,M AE TH AH M AE T IH K AH L,mATxmAtIkxl,1.59
mathematician,M AE TH AH M AH T IH SH IH N,mATxmxtISIn,0.96
mathematics,M AE TH AH M AE T IH K S,mATxmAtIks,3.06
matriarch,M EY T R IY AA R K,metriark,0.29
matriarchal,M EY T R IY AA R K AH L,metriarkxl,0.02
matriculate,M AH T R IH K Y UH L EY T,mxtrIkyUlet,0.06
matrimonial,M AE T R AH M OW N IY AH L,mAtrxmonixl,0.29
matrimony,M AE T R AH M OW N IY,mAtrxmoni,2.67
matrix,M EY T R IH K S,metrIks,3.8
matron,M EY T R AH N,metrxn,0.78
matt,M AE T,mAt,31.45
matt,M AE T,mAt,31.45
matt,M AE T,mAt,31.45
matt,M AE T,mAt,31.45
matter,M AE T AH R,mAtxr,370.59
matter,M AE T AH R,mAtxr,370.59
matter,M AE T AH R,mAtxr,370.59
matter,M AE T AH R,mAtxr,370.59
matting,M AE T IH NG,mAtIG,0.02
